Source MAC,Destination MAC,Protocol,Port Dst,Size,Time,Access
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:37.226245,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:37.226456,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:38.886925,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:38.894455,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50713,117,2024-12-27T20:05:38.894537,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:38.899637,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,1474,2024-12-27T20:05:38.900870,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,495,2024-12-27T20:05:38.900984,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,449,2024-12-27T20:05:38.903084,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,71,2024-12-27T20:05:38.953586,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60154,1150,2024-12-27T20:05:38.963178,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,82,2024-12-27T20:05:38.971089,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:40.973412,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:40.981821,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,94,2024-12-27T20:05:41.004652,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:41.006264,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,103,2024-12-27T20:05:41.133890,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:41.135538,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:41.186847,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:41.192293,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,104,2024-12-27T20:05:41.272589,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:41.274046,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:43.062313,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:43.068270,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,87,2024-12-27T20:05:43.160950,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,87,2024-12-27T20:05:43.161055,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,57142,103,2024-12-27T20:05:43.167750,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,54690,166,2024-12-27T20:05:43.167844,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,78,2024-12-27T20:05:43.173462,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,120,2024-12-27T20:05:43.219324,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:43.220999,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,441,2024-12-27T20:05:43.225836,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60220,1013,2024-12-27T20:05:44.930891,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60220,101,2024-12-27T20:05:44.933266,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,79,2024-12-27T20:05:44.937789,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:44.945572,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:44.952287,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60220,67,2024-12-27T20:05:44.974232,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,112,2024-12-27T20:05:45.146982,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:45.148574,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:45.153438,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:45.160546,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,97,2024-12-27T20:05:47.155391,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:47.162736,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,105,2024-12-27T20:05:47.171878,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,90,2024-12-27T20:05:47.172532,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:47.172734,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,78,2024-12-27T20:05:47.204598,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50697,54,2024-12-27T20:05:47.449901,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50697,54,2024-12-27T20:05:47.449981,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50699,66,2024-12-27T20:05:47.452912,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50699,66,2024-12-27T20:05:47.452970,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:48.844891,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:48.851207,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,105,2024-12-27T20:05:48.865686,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,90,2024-12-27T20:05:48.866006,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:48.866173,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,114,2024-12-27T20:05:48.891780,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,114,2024-12-27T20:05:48.892352,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,50210,213,2024-12-27T20:05:48.899142,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,57936,240,2024-12-27T20:05:48.899318,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,78,2024-12-27T20:05:48.904767,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,89,2024-12-27T20:05:50.576200,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,89,2024-12-27T20:05:50.576312,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,54818,196,2024-12-27T20:05:50.583173,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,54125,218,2024-12-27T20:05:50.583269,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,85,2024-12-27T20:05:50.584052,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,178,2024-12-27T20:05:50.588774,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,609,2024-12-27T20:05:50.589550,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DNS,61508,163,2024-12-27T20:05:50.590359,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,377,2024-12-27T20:05:50.590453,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,97,2024-12-27T20:05:50.591777,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50717,1494,2024-12-27T20:05:52.079999,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:52.080175,Trusted
